Kennziffer;Raumeinheit;Aggregat;Hochschulen;Studierende Hochschulen;Studierende an Hochschulen je 1000 Einwohner;Studierende an Fachhoschulen je 1000 Einwohner;Allgemeinbildende Schulen;Schüler an allgemeinbildenden Schulen;Schüler an allgemeinbildenden Schulen je 1000 Einwohner;Grundschulen;Schüler an Grundschulen;Schüler an Grundschulen je 1000 Einwohner;Weiterführende Schulen;Schüler an weiterführenden Schulen;Schüler in weiterführenden Schulen je 1000 Einwohner;Berufsbildende Schulen;Schüler an berufsbildenden Schulen;Schüler an berufsbildenden Schulen je 1000 Einwohner;Bibliotheken;Öffentliche Bibliotheken;Wissenschaftliche Bibliotheken;Spezialbibliotheken;Bibliotheksentleihungen;Kinos;Kinosäle;Kinositzplätze
;;;2017;2017;2017;2017;2017;2017;2017;2017;2017;2017;2017;2017;2017;2017;2017;2017;2017;2017;2017;2017;2017;2017;2017;2017
"01001000";"Flensburg, Stadt";"Oberzentrum";"2";"9.651";"109,03";"44,00";"30";"11.464";"129";"10,0";"2.438";"27,0";"10";"6.729";"76,0";"8,0";"7.122";"80";"5,0";"4";"1";"0";"995.327";"2";"9";"2.101"
"01002000";"Kiel, Landeshauptstadt";"Oberzentrum";"3";"34.869";"140,63";"31,00";"60";"23.718";"95";"27,0";"6.763";"27,0";"19";"11.528";"46,0";"24,0";"13.659";"55";"11,0";"1";"4";"6";"2.374.849";"6";"19";"4.309"
"01003000";"Lübeck, Hansestadt";"Oberzentrum";"4";"10.651";"49,24";"22,00";"54";"20.873";"96";"25,0";"5.250";"24,0";"10";"7.289";"33,0";"24,0";"16.083";"74";"4,0";"2";"2";"0";"1.094.379";"3";"11";"1.884"
"01004000";"Neumünster, Stadt";"Oberzentrum";"0";"0";"0,00";"0,00";"25";"10.817";"136";"9,0";"2.390";"30,0";"9";"6.475";"81,0";"9,0";"7.939";"100";"2,0";"2";"0";"0";"422.763";"3";"15";"2.548"
"02000000";"Hamburg, Freie und Hansestadt";"Oberzentrum";"26";"107.912";"58,95";"26,00";"397";"183.253";"100";"211,0";"57.143";"31,0";"150";"116.553";"63,0";"57,0";"53.372";"29";"47,0";"5";"7";"35";"14.207.379";"27";"79";"17.550"
"03101000";"Braunschweig, Stadt";"Oberzentrum";"2";"21.116";"85,14";"0,00";"77";"25.985";"104";"40,0";"7.744";"31,0";"26";"16.405";"66,0";"14,0";"13.168";"53";"31,0";"26";"2";"3";"2.491.304";"3";"11";"2.860"
"03102000";"Salzgitter, Stadt";"Oberzentrum";"1";"2.422";"23,17";"23,00";"32";"10.649";"101";"16,0";"3.922";"37,0";"13";"6.338";"60,0";"2,0";"3.315";"32";"3,0";"3";"0";"0";"445.670";"3";"11";"2.406"
"03103000";"Wolfsburg, Stadt";"Oberzentrum";"1";"3.092";"24,95";"24,00";"37";"15.112";"121";"18,0";"4.230";"34,0";"15";"9.697";"78,0";"8,0";"5.950";"48";"3,0";"2";"0";"1";"605.797";"3";"11";"2.367"
"03159016";"Göttingen, Stadt";"Oberzentrum";"3";"35.670";"298,42";"40,00";"40";"13.943";"116";"20,0";"3.590";"30,0";"14";"9.685";"81,0";"7,0";"6.070";"51";"7,0";"3";"1";"3";"1.759.294";"2";"10";"1.802"
"03241001";"Hannover, Landeshauptstadt";"Oberzentrum";"10";"49.380";"92,29";"23,00";"131";"54.380";"101";"61,0";"17.192";"32,0";"50";"33.272";"62,0";"31,0";"31.544";"59";"27,0";"13";"5";"9";"5.698.613";"7";"28";"5.182"
"03254021";"Hildesheim, Stadt";"Oberzentrum";"3";"11.454";"112,58";"29,00";"38";"14.953";"146";"18,0";"3.405";"33,0";"15";"10.861";"106,0";"12,0";"7.687";"76";"14,0";"7";"3";"4";"1.147.524";"1";"7";"1.326"
"03351006";"Celle, Stadt";"Oberzentrum";"0";"0";"0,00";"0,00";"29";"9.115";"130";"15,0";"2.600";"37,0";"8";"5.867";"84,0";"7,0";"5.975";"86";"5,0";"1";"0";"4";"401.455";"1";"1";"34"
"03355022";"Lüneburg, Hansestadt";"Oberzentrum";"1";"9.736";"129,48";"0,00";"24";"10.944";"145";"12,0";"2.828";"37,0";"9";"7.806";"103,0";"6,0";"6.781";"90";"9,0";"5";"1";"3";"854.570";"2";"12";"1.895"
"03403000";"Oldenburg (Oldenburg), Stadt";"Oberzentrum";"3";"17.451";"104,45";"13,00";"52";"19.348";"115";"28,0";"5.538";"33,0";"16";"12.651";"75,0";"10,0";"13.035";"78";"18,0";"15";"2";"1";"1.192.029";"5";"15";"2.731"
"03404000";"Osnabrück, Stadt";"Oberzentrum";"2";"25.605";"155,77";"70,00";"50";"20.049";"121";"26,0";"5.433";"33,0";"17";"13.329";"81,0";"17,0";"16.842";"102";"11,0";"9";"1";"1";"1.456.377";"5";"23";"4.579"
"03405000";"Wilhelmshaven, Stadt";"Oberzentrum";"1";"4.592";"60,17";"60,00";"18";"7.116";"93";"11,0";"2.310";"30,0";"6";"4.629";"60,0";"3,0";"2.988";"39";"4,0";"2";"1";"1";"340.189";"1";"9";"1.684"
"04011000";"Bremen, Stadt";"Oberzentrum";"8";"34.813";"61,29";"22,00";"140";"52.973";"93";"79,0";"18.470";"32,0";"48";"34.018";"59,0";"33,0";"20.545";"36";"9,0";"2";"1";"6";"4.824.696";"8";"39";"10.295"
"04012000";"Bremerhaven, Stadt";"Oberzentrum";"1";"2.986";"26,42";"26,00";"36";"12.291";"108";"18,0";"4.363";"38,0";"16";"7.871";"69,0";"10,0";"5.202";"46";"3,0";"1";"0";"2";"517.960";"2";"8";"1.344"
"05111000";"Düsseldorf, Stadt";"Oberzentrum";"11";"56.887";"92,16";"32,00";"166";"60.357";"97";"88,0";"21.225";"34,0";"60";"34.918";"56,0";"79,0";"29.636";"48";"52,0";"31";"3";"18";"5.769.741";"9";"39";"9.063"
"05112000";"Duisburg, Stadt";"Oberzentrum";"3";"23.872";"47,93";"2,00";"133";"51.676";"103";"76,0";"17.540";"35,0";"42";"31.539";"63,0";"29,0";"17.150";"34";"21,0";"19";"0";"2";"2.636.613";"2";"10";"2.262"
"05113000";"Essen, Stadt";"Oberzentrum";"4";"27.552";"47,23";"7,00";"152";"59.423";"101";"84,0";"19.493";"33,0";"48";"35.205";"60,0";"60,0";"23.174";"40";"57,0";"52";"2";"3";"5.085.408";"6";"23";"7.672"
"05114000";"Krefeld, Stadt";"Oberzentrum";"1";"6.059";"26,73";"26,00";"63";"25.917";"114";"29,0";"8.053";"35,0";"25";"15.621";"68,0";"13,0";"10.560";"47";"20,0";"19";"0";"1";"889.358";"2";"12";"2.930"
"05116000";"Mönchengladbach, Stadt";"Oberzentrum";"1";"8.440";"32,19";"32,00";"71";"28.712";"109";"35,0";"9.156";"34,0";"28";"17.841";"68,0";"18,0";"10.421";"40";"11,0";"10";"1";"0";"1.081.874";"2";"9";"1.998"
"05124000";"Wuppertal, Stadt";"Oberzentrum";"4";"22.776";"64,41";"1,00";"105";"38.028";"107";"56,0";"12.343";"34,0";"36";"22.653";"64,0";"21,0";"11.705";"33";"22,0";"19";"2";"1";"1.544.087";"5";"16";"3.258"
"05314000";"Bonn, Stadt";"Oberzentrum";"3";"39.836";"122,39";"7,00";"104";"41.037";"126";"51,0";"12.071";"37,0";"42";"25.806";"79,0";"24,0";"15.474";"48";"67,0";"45";"1";"21";"2.303.657";"7";"19";"4.014"
"05315000";"Köln, Stadt";"Oberzentrum";"17";"102.020";"94,43";"35,00";"271";"107.002";"99";"146,0";"37.465";"34,0";"95";"61.655";"57,0";"96,0";"45.963";"43";"86,0";"63";"9";"14";"2.151.236";"21";"44";"7.342"
"05334002";"Aachen, Stadt";"Oberzentrum";"5";"57.573";"233,78";"48,00";"74";"25.976";"105";"37,0";"7.400";"30,0";"23";"16.168";"65,0";"27,0";"12.246";"50";"20,0";"13";"2";"5";"1.418.114";"5";"20";"4.356"
"05515000";"Münster, Stadt";"Oberzentrum";"9";"60.089";"191,64";"38,00";"93";"32.988";"105";"45,0";"9.889";"31,0";"33";"19.706";"62,0";"30,0";"21.470";"68";"45,0";"36";"3";"6";"3.683.837";"3";"15";"3.344"
"05711000";"Bielefeld, Stadt";"Oberzentrum";"6";"38.175";"114,79";"36,00";"103";"39.404";"118";"48,0";"12.241";"36,0";"36";"22.778";"68,0";"41,0";"18.224";"55";"28,0";"20";"3";"5";"2.554.097";"6";"26";"6.067"
"05774032";"Paderborn, Stadt";"Oberzentrum";"4";"21.990";"147,51";"10,00";"44";"19.557";"131";"21,0";"5.398";"36,0";"16";"12.504";"83,0";"20,0";"11.971";"80";"16,0";"15";"1";"0";"2.707.465";"3";"17";"2.734"
"05911000";"Bochum, Stadt";"Oberzentrum";"7";"58.137";"159,05";"41,00";"88";"36.862";"100";"45,0";"11.262";"30,0";"28";"21.413";"58,0";"28,0";"13.355";"37";"23,0";"15";"4";"4";"2.725.344";"6";"32";"5.846"
"05913000";"Dortmund, Stadt";"Oberzentrum";"5";"54.221";"92,43";"33,00";"160";"60.619";"103";"89,0";"20.757";"35,0";"50";"34.821";"59,0";"39,0";"25.390";"43";"24,0";"18";"2";"4";"2.375.388";"7";"21";"5.175"
"05914000";"Hagen, Stadt der FernUniversität";"Oberzentrum";"4";"71.823";"382,59";"15,00";"62";"21.991";"117";"30,0";"6.788";"36,0";"25";"13.263";"70,0";"12,0";"10.034";"53";"9,0";"7";"2";"0";"1.719.557";"2";"9";"2.161"
"05970040";"Siegen, Universitätsstadt";"Oberzentrum";"2";"20.119";"196,60";"6,00";"43";"12.496";"122";"19,0";"3.251";"31,0";"16";"7.893";"77,0";"13,0";"10.177";"99";"3,0";"3";"0";"0";"273.091";"3";"11";"2.086"
"06411000";"Darmstadt, Wissenschaftsstadt";"Oberzentrum";"4";"46.147";"291,60";"128,00";"44";"18.600";"117";"18,0";"4.859";"30,0";"13";"9.776";"61,0";"12,0";"11.357";"72";"14,0";"7";"3";"4";"1.188.982";"5";"20";"3.447"
"06412000";"Frankfurt am Main, Stadt";"Oberzentrum";"10";"72.124";"96,57";"28,00";"169";"68.646";"91";"79,0";"22.159";"29,0";"47";"32.656";"43,0";"38,0";"29.698";"40";"25,0";"14";"6";"5";"4.680.376";"14";"43";"9.092"
"06413000";"Offenbach am Main, Stadt";"Oberzentrum";"1";"754";"5,95";"0,00";"29";"13.722";"108";"13,0";"4.413";"34,0";"8";"6.944";"54,0";"8,0";"6.864";"54";"6,0";"3";"1";"2";"427.056";"2";"8";"1.639"
"06414000";"Wiesbaden, Landeshauptstadt";"Oberzentrum";"4";"11.902";"42,71";"34,00";"77";"30.389";"109";"38,0";"10.156";"36,0";"24";"16.838";"60,0";"15,0";"11.584";"42";"12,0";"6";"1";"5";"1.180.914";"7";"12";"2.734"
"06435014";"Hanau, Brüder-Grimm-Stadt";"Oberzentrum";"0";"0";"0,00";"0,00";"28";"12.161";"126";"16,0";"3.407";"35,0";"9";"7.930";"82,0";"7,0";"7.529";"78";"5,0";"4";"0";"1";"342.902";"1";"8";"1.131"
"06531005";"Gießen, Universitätsstadt";"Oberzentrum";"4";"40.082";"458,90";"124,00";"28";"12.168";"139";"12,0";"2.110";"24,0";"7";"7.200";"82,0";"14,0";"9.120";"104";"8,0";"6";"2";"0";"1.290.953";"3";"14";"2.051"
"06532023";"Wetzlar, Stadt";"Oberzentrum";"1";"1.355";"25,65";"25,00";"21";"5.745";"108";"13,0";"2.317";"43,0";"4";"2.876";"54,0";"6,0";"5.788";"110";"2,0";"2";"0";"0";"143.475";"1";"3";"394"
"06534014";"Marburg, Universitätsstadt";"Oberzentrum";"3";"25.762";"337,97";"0,00";"30";"8.535";"111";"13,0";"1.822";"23,0";"6";"4.202";"55,0";"16,0";"5.971";"78";"10,0";"5";"1";"4";"824.893";"4";"15";"2.626"
"06611000";"Kassel, documenta-Stadt";"Oberzentrum";"6";"30.496";"151,92";"27,00";"61";"22.036";"109";"26,0";"5.689";"28,0";"16";"12.303";"61,0";"19,0";"15.887";"79";"16,0";"11";"1";"4";"1.808.315";"3";"22";"5.290"
"06631009";"Fulda, Stadt";"Oberzentrum";"2";"8.861";"130,36";"129,00";"28";"10.010";"147";"15,0";"2.142";"31,0";"7";"5.951";"87,0";"10,0";"8.032";"118";"16,0";"13";"2";"1";"507.884";"2";"9";"1.743"
"07111000";"Koblenz, Stadt";"Oberzentrum";"2";"15.228";"133,76";"58,00";"42";"12.761";"112";"25,0";"3.496";"30,0";"13";"8.729";"76,0";"21,0";"10.463";"92";"11,0";"5";"2";"4";"1.263.005";"3";"15";"2.596"
"07211000";"Trier, Stadt";"Oberzentrum";"3";"18.136";"164,85";"47,00";"42";"11.881";"107";"24,0";"3.151";"28,0";"12";"7.850";"71,0";"18,0";"9.089";"83";"12,0";"5";"3";"4";"950.051";"3";"13";"2.261"
"07312000";"Kaiserslautern, Stadt";"Oberzentrum";"2";"17.365";"174,20";"27,00";"33";"11.962";"120";"19,0";"2.988";"29,0";"11";"8.551";"85,0";"10,0";"6.913";"69";"4,0";"1";"2";"1";"546.224";"3";"14";"2.675"
"07314000";"Ludwigshafen am Rhein, Stadt";"Oberzentrum";"1";"4.478";"26,58";"26,00";"43";"18.311";"108";"23,0";"6.207";"36,0";"14";"10.420";"61,0";"18,0";"12.737";"76";"7,0";"5";"1";"1";"524.889";"1";"11";"2.039"
"07315000";"Mainz, Stadt";"Oberzentrum";"4";"37.449";"174,09";"33,00";"47";"22.328";"103";"25,0";"6.679";"31,0";"16";"14.292";"66,0";"25,0";"10.142";"47";"29,0";"20";"4";"5";"1.292.664";"5";"17";"3.426"
"08111000";"Stuttgart, Landeshauptstadt";"Oberzentrum";"17";"62.728";"99,14";"40,00";"181";"57.928";"91";"60,0";"12.969";"20,0";"52";"28.054";"44,0";"83,0";"39.486";"62";"31,0";"9";"7";"15";"7.630.922";"13";"46";"10.894"
"08121000";"Heilbronn, Stadt";"Oberzentrum";"4";"8.268";"66,08";"66,00";"43";"15.207";"121";"12,0";"2.140";"17,0";"10";"6.511";"52,0";"22,0";"14.644";"117";"3,0";"1";"2";"0";"1.177.716";"2";"10";"1.896"
"08212000";"Karlsruhe, Stadt";"Oberzentrum";"8";"41.668";"133,59";"38,00";"93";"27.478";"88";"32,0";"5.515";"17,0";"26";"14.262";"45,0";"39,0";"19.396";"62";"37,0";"22";"6";"9";"3.108.650";"4";"21";"4.698"
"08221000";"Heidelberg, Stadt";"Oberzentrum";"5";"35.126";"218,72";"22,00";"48";"15.318";"95";"20,0";"3.613";"22,0";"12";"7.631";"47,0";"33,0";"9.703";"60";"9,0";"3";"5";"1";"2.558.231";"4";"5";"803"
"08222000";"Mannheim, Universitätsstadt";"Oberzentrum";"10";"28.373";"92,12";"44,00";"88";"30.321";"98";"34,0";"8.426";"27,0";"30";"17.420";"56,0";"40,0";"16.212";"53";"16,0";"5";"6";"5";"1.656.619";"5";"22";"4.300"
"08231000";"Pforzheim, Stadt";"Oberzentrum";"1";"6.093";"49,02";"49,00";"41";"14.709";"118";"10,0";"1.900";"15,0";"12";"7.548";"60,0";"14,0";"9.290";"75";"4,0";"3";"1";"0";"660.881";"3";"12";"2.196"
"08311000";"Freiburg im Breisgau, Stadt";"Oberzentrum";"7";"32.752";"142,63";"12,00";"86";"25.064";"109";"31,0";"5.872";"25,0";"23";"12.752";"55,0";"37,0";"17.425";"76";"15,0";"5";"4";"6";"2.910.038";"5";"18";"3.849"
"08317096";"Offenburg, Stadt";"Oberzentrum";"1";"4.390";"74,33";"74,00";"33";"8.322";"140";"10,0";"1.004";"16,0";"8";"4.533";"76,0";"8,0";"6.194";"105";"4,0";"3";"1";"0";"693.495";"2";"9";"1.435"
"08326074";"Villingen-Schwenningen, Stadt";"Oberzentrum";"3";"6.314";"74,67";"57,00";"36";"9.478";"112";"15,0";"2.192";"25,0";"6";"4.478";"52,0";"11,0";"7.848";"93";"5,0";"3";"2";"0";"418.793";"4";"14";"2.515"
"08335043";"Konstanz, Universitätsstadt";"Oberzentrum";"3";"16.211";"191,98";"60,00";"24";"8.168";"96";"9,0";"1.994";"23,0";"6";"4.601";"54,0";"5,0";"2.595";"31";"7,0";"5";"2";"0";"1.237.957";"2";"10";"1.537"
"08336050";"Lörrach, Stadt";"Oberzentrum";"1";"2.079";"42,24";"42,00";"19";"7.029";"142";"7,0";"1.214";"24,0";"3";"2.664";"54,0";"6,0";"4.274";"87";"7,0";"5";"2";"0";"394.051";"3";"8";"1.153"
"08336091";"Weil am Rhein, Stadt";"Oberzentrum";"0";"0";"0,00";"0,00";"14";"3.599";"119";"6,0";"1.184";"39,0";"4";"2.299";"76,0";"1,0";"45";"1";"1,0";"1";"0";"0";"164.807";"1";"5";"690"
"08415061";"Reutlingen, Stadt";"Oberzentrum";"2";"5.761";"49,77";"49,00";"41";"13.131";"113";"14,0";"2.159";"18,0";"9";"6.398";"55,0";"15,0";"9.079";"78";"6,0";"4";"2";"0";"1.476.605";"2";"9";"1.322"
"08416041";"Tübingen, Universitätsstadt";"Oberzentrum";"1";"27.318";"305,41";"0,00";"35";"9.737";"108";"19,0";"2.306";"25,0";"8";"5.746";"64,0";"15,0";"6.214";"69";"6,0";"3";"2";"1";"2.442.195";"3";"5";"827"
"08421000";"Ulm, Universitätsstadt";"Oberzentrum";"3";"14.600";"116,25";"32,00";"57";"15.429";"122";"25,0";"3.486";"27,0";"15";"8.671";"69,0";"20,0";"13.049";"104";"9,0";"7";"2";"0";"1.164.503";"4";"13";"2.639"
"08435016";"Friedrichshafen, Stadt";"Oberzentrum";"2";"2.265";"37,69";"20,00";"23";"7.000";"116";"7,0";"837";"13,0";"5";"3.231";"53,0";"7,0";"4.353";"72";"6,0";"4";"1";"1";"606.902";"2";"9";"1.431"
"08436064";"Ravensburg, Stadt";"Oberzentrum";"2";"4.227";"83,88";"83,00";"29";"7.503";"148";"10,0";"1.377";"27,0";"11";"4.265";"84,0";"7,0";"5.908";"117";"8,0";"7";"1";"0";"704.965";"2";"12";"2.301"
"08436082";"Weingarten, Stadt";"Oberzentrum";"2";"5.284";"211,27";"71,00";"6";"2.312";"92";"2,0";"314";"12,0";"2";"1.466";"58,0";"4,0";"3.506";"140";"3,0";"1";"2";"0";"276.389";"1";"2";"245"
"09161000";"Ingolstadt";"Oberzentrum";"2";"6.396";"47,29";"40,00";"39";"14.542";"107";"17,0";"4.227";"31,0";"17";"9.249";"68,0";"26,0";"9.019";"67";"15,0";"11";"2";"2";"869.101";"4";"15";"2.084"
"09162000";"München, Landeshauptstadt";"Oberzentrum";"21";"106.383";"73,06";"20,00";"336";"125.621";"86";"148,0";"43.009";"29,0";"150";"72.565";"49,0";"206,0";"62.692";"43";"73,0";"37";"8";"28";"15.740.484";"16";"35";"7.255"
"09163000";"Rosenheim";"Oberzentrum";"1";"5.437";"86,19";"86,00";"20";"8.362";"132";"8,0";"2.047";"32,0";"9";"5.653";"89,0";"17,0";"6.135";"97";"7,0";"6";"1";"0";"509.792";"1";"8";"1.426"
"09171111";"Altötting, Stadt";"Oberzentrum";"0";"0";"0,00";"0,00";"8";"4.301";"333";"1,0";"375";"29,0";"5";"3.692";"286,0";"8,0";"3.766";"292";"2,0";"2";"0";"0";"68.478";"0";"0";"0"
