Kennziffer;Raumeinheit;Aggregat;Anteil Siedlungs- und Verkehrsfläche;Anteil Siedlungs- und Verkehrsfläche;Siedlungsdichte;Siedlungsdichte;Anteil Erholungsfläche;Anteil Erholungsfläche;Erholungsfläche je Einwohner;Erholungsfläche je Einwohner;Anteil Freifläche;Anteil Freifläche;Freifläche je Einwohner;Freifläche je Einwohner;Anteil Landwirtschaftsfläche;Anteil Landwirtschaftsfläche;Anteil naturnähere Fläche;Anteil naturnähere Fläche;Naturnähere Fläche je Einwohner;Naturnähere Fläche je Einwohner;Anteil Waldfläche;Anteil Waldfläche;Waldfläche je Einwohner;Waldfläche je Einwohner;Anteil Wasserfläche;Anteil Wasserfläche;Wasserfläche je Einwohner;Wasserfläche je Einwohner
"05314";"Bonn, Stadt";"krsfr. Stadt";"50,8";"50,8";"4.497,7";"4.539,6";"4,7";"4,7";"20,4";"20,2";"54,9";"54,8";"240,4";"237,7";"16,0";"15,9";"5,0";"5,0";"21,9";"21,7";"28,2";"28,3";"123,7";"122,6";"3,9";"4,0";"17,3";"17,1"
"05315";"Köln, Stadt";"krsfr. Stadt";"61,0";"61,0";"4.352,7";"4.374,6";"11,0";"11,0";"41,5";"41,3";"51,2";"51,3";"192,8";"192,2";"16,5";"16,5";"8,7";"8,7";"32,7";"32,7";"16,6";"16,7";"62,6";"62,7";"4,8";"4,8";"18,0";"17,9"
"05316";"Leverkusen, Stadt";"krsfr. Stadt";"59,0";"58,8";"3.507,8";"3.526,9";"9,1";"9,0";"44,0";"43,3";"51,0";"51,0";"246,4";"245,9";"22,9";"22,8";"6,6";"6,9";"31,9";"33,1";"13,1";"13,4";"63,6";"64,7";"4,3";"4,3";"20,8";"20,8"
"05334";"Städteregion Aachen";"Landkreis";"27,7";"27,9";"2.824,8";"2.807,8";"2,3";"2,5";"29,0";"32,4";"75,0";"75,1";"960,1";"957,8";"38,3";"37,9";"3,1";"3,3";"39,8";"41,8";"31,3";"31,7";"400,6";"404,0";"1,5";"1,5";"19,3";"18,9"
"05358";"Düren";"Landkreis";"16,2";"16,2";"1.721,3";"1.720,7";"1,4";"1,4";"51,8";"51,8";"85,4";"85,4";"3.070,0";"3.057,6";"55,3";"55,2";"3,6";"3,6";"127,9";"128,0";"20,9";"20,9";"749,5";"747,3";"1,7";"1,7";"60,9";"60,8"
"05362";"Rhein-Erft-Kreis";"Landkreis";"27,4";"27,5";"2.411,5";"2.409,9";"2,8";"2,8";"42,1";"42,4";"75,7";"75,6";"1.145,2";"1.139,9";"51,9";"51,7";"4,2";"4,2";"63,0";"63,9";"13,7";"13,8";"206,8";"207,4";"1,6";"1,6";"24,6";"24,6"
"05366";"Euskirchen";"Landkreis";"13,4";"13,4";"1.145,1";"1.149,3";"1,3";"1,4";"85,8";"88,0";"88,0";"88,0";"5.748,7";"5.722,5";"46,5";"46,3";"2,9";"3,0";"189,1";"197,0";"38,6";"38,7";"2.519,3";"2.515,0";"0,9";"0,9";"57,7";"55,7"
"05370";"Heinsberg";"Landkreis";"22,8";"22,8";"1.767,4";"1.765,7";"2,2";"2,6";"55,6";"64,9";"79,7";"80,0";"1.979,8";"1.983,8";"63,4";"62,6";"2,0";"2,2";"50,7";"54,3";"11,7";"11,8";"289,6";"293,9";"1,2";"1,1";"29,7";"27,1"
"05374";"Oberbergischer Kreis";"Landkreis";"19,7";"19,7";"1.509,3";"1.504,9";"1,8";"1,9";"60,9";"65,0";"82,3";"82,3";"2.767,4";"2.771,6";"38,1";"38,1";"2,9";"2,8";"95,9";"95,2";"39,9";"40,0";"1.343,7";"1.346,3";"1,8";"1,8";"60,7";"59,8"
"05378";"Rheinisch-Bergischer Kreis";"Landkreis";"24,8";"25,0";"2.611,1";"2.594,7";"2,1";"2,2";"32,1";"34,0";"77,5";"77,5";"1.196,4";"1.195,6";"36,1";"35,8";"2,7";"2,8";"42,0";"43,3";"36,8";"37,0";"568,4";"571,3";"1,7";"1,7";"26,3";"25,9"
"05382";"Rhein-Sieg-Kreis";"Landkreis";"23,9";"23,9";"2.170,8";"2.169,4";"2,7";"3,0";"52,5";"56,8";"79,0";"79,2";"1.524,3";"1.524,4";"42,1";"41,8";"3,8";"4,0";"73,1";"76,1";"31,0";"31,3";"597,3";"602,3";"2,0";"2,0";"38,8";"38,0"
"05512";"Bottrop, Stadt";"krsfr. Stadt";"43,7";"43,5";"2.669,0";"2.682,0";"6,1";"6,1";"52,4";"52,4";"62,9";"63,2";"539,3";"541,5";"28,9";"28,9";"4,5";"4,8";"38,2";"41,5";"23,3";"23,5";"199,4";"201,1";"2,0";"1,7";"16,8";"14,4"
"05513";"Gelsenkirchen, Stadt";"krsfr. Stadt";"72,4";"72,3";"3.455,2";"3.430,5";"11,9";"11,5";"47,6";"46,3";"41,2";"40,9";"164,6";"164,7";"12,2";"12,1";"6,4";"6,3";"25,6";"25,5";"12,4";"12,6";"49,7";"50,9";"2,6";"1,4";"10,2";"5,5"
"05515";"Münster, Stadt";"krsfr. Stadt";"33,4";"33,5";"3.078,4";"3.087,7";"4,7";"4,7";"45,8";"45,8";"71,5";"71,4";"695,3";"690,9";"44,7";"44,3";"5,8";"6,2";"56,8";"59,6";"17,8";"17,7";"173,2";"170,9";"2,1";"2,0";"20,4";"19,0"
"05554";"Borken";"Landkreis";"17,2";"17,2";"1.513,2";"1.512,1";"1,2";"1,2";"44,5";"44,2";"84,1";"84,0";"3.235,9";"3.230,0";"64,9";"64,7";"3,8";"4,1";"145,2";"156,9";"15,4";"15,5";"591,1";"594,6";"1,6";"1,6";"62,4";"60,0"
"05558";"Coesfeld";"Landkreis";"13,7";"13,8";"1.439,2";"1.433,2";"1,3";"1,4";"68,1";"71,2";"87,7";"87,7";"4.454,4";"4.446,6";"67,3";"67,1";"3,8";"4,0";"194,9";"201,4";"16,4";"16,4";"831,5";"832,9";"1,8";"1,8";"93,1";"93,3"
"05562";"Recklinghausen";"Landkreis";"32,7";"32,6";"2.477,7";"2.484,3";"3,3";"3,5";"41,0";"43,0";"71,1";"71,3";"876,6";"880,3";"36,7";"36,3";"4,9";"5,2";"60,9";"64,2";"25,9";"26,8";"319,9";"330,2";"3,2";"3,0";"39,6";"37,1"
"05566";"Steinfurt";"Landkreis";"17,7";"17,8";"1.401,4";"1.400,9";"1,2";"1,2";"49,6";"50,1";"83,7";"83,6";"3.380,9";"3.361,6";"64,6";"64,2";"3,6";"3,9";"144,4";"155,6";"15,0";"15,2";"605,2";"611,1";"1,6";"1,6";"66,1";"63,5"
"05570";"Warendorf";"Landkreis";"14,4";"14,5";"1.459,7";"1.449,3";"1,4";"1,4";"65,2";"68,1";"87,1";"87,1";"4.136,7";"4.139,6";"69,7";"69,5";"3,2";"3,3";"150,4";"157,0";"13,4";"13,5";"635,7";"641,8";"1,9";"1,9";"88,6";"89,0"
"05711";"Bielefeld, Stadt";"krsfr. Stadt";"43,1";"43,3";"2.989,5";"2.967,9";"5,4";"5,5";"41,9";"42,7";"63,0";"62,9";"489,0";"489,6";"33,9";"33,6";"2,3";"2,4";"18,1";"18,5";"22,0";"22,1";"170,5";"171,6";"0,7";"0,7";"5,7";"5,7"
"05754";"Gütersloh";"Landkreis";"21,6";"21,7";"1.727,0";"1.723,1";"1,9";"1,9";"50,3";"51,9";"80,4";"80,3";"2.153,6";"2.144,9";"60,6";"60,1";"4,1";"4,5";"111,0";"121,0";"14,5";"14,7";"389,2";"393,5";"1,4";"1,3";"37,4";"35,9"
"05758";"Herford";"Landkreis";"30,4";"30,5";"1.833,3";"1.830,7";"1,8";"1,8";"32,0";"32,7";"71,7";"71,7";"1.286,8";"1.283,4";"58,9";"58,7";"1,9";"2,0";"33,3";"35,2";"9,2";"9,3";"165,4";"167,4";"1,1";"1,1";"19,3";"19,4"
"05762";"Höxter";"Landkreis";"10,8";"10,9";"1.097,1";"1.081,1";"0,7";"0,8";"58,4";"64,5";"90,0";"89,9";"7.622,7";"7.632,7";"58,3";"58,0";"1,9";"2,0";"160,9";"169,8";"29,7";"29,8";"2.511,3";"2.525,4";"1,0";"0,9";"82,0";"80,5"
"05766";"Lippe";"Landkreis";"16,9";"17,0";"1.652,3";"1.644,1";"1,8";"1,9";"65,7";"68,2";"85,1";"85,0";"3.038,2";"3.036,2";"49,9";"49,7";"3,0";"3,1";"108,4";"111,7";"31,0";"31,1";"1.106,1";"1.109,2";"0,9";"0,8";"30,5";"30,2"
"05770";"Minden-Lübbecke";"Landkreis";"20,2";"20,4";"1.341,9";"1.326,4";"1,1";"1,1";"39,4";"41,1";"81,1";"80,9";"2.996,4";"2.997,1";"63,7";"63,5";"4,7";"4,8";"173,2";"178,8";"12,0";"12,1";"442,0";"447,3";"3,1";"3,0";"113,1";"110,5"
"05774";"Paderborn";"Landkreis";"15,6";"15,7";"1.564,7";"1.558,5";"1,5";"1,5";"62,1";"60,3";"86,0";"85,9";"3.512,3";"3.505,6";"52,4";"52,3";"3,7";"3,8";"152,7";"155,7";"29,4";"29,4";"1.200,8";"1.200,4";"1,4";"1,4";"58,5";"58,9"
"05911";"Bochum, Stadt";"krsfr. Stadt";"69,6";"69,4";"3.599,9";"3.616,6";"10,5";"10,7";"41,8";"42,8";"42,8";"43,2";"170,7";"172,3";"19,1";"18,2";"3,7";"4,3";"14,8";"17,1";"9,8";"10,9";"39,3";"43,5";"1,1";"1,0";"4,3";"3,8"
"05913";"Dortmund, Stadt";"krsfr. Stadt";"59,6";"59,6";"3.502,4";"3.506,5";"6,7";"6,9";"32,1";"33,2";"48,5";"48,7";"232,5";"233,3";"23,7";"23,6";"6,0";"6,1";"28,6";"29,2";"14,4";"14,5";"69,1";"69,5";"0,9";"0,9";"4,5";"4,4"
"05914";"Hagen, Stadt";"krsfr. Stadt";"35,2";"35,1";"3.333,3";"3.329,7";"3,1";"3,2";"26,6";"27,6";"68,6";"68,8";"584,6";"587,7";"19,1";"18,4";"3,2";"3,7";"27,6";"31,6";"42,0";"43,0";"358,3";"367,4";"2,3";"2,3";"19,4";"19,3"
"05915";"Hamm, Stadt";"krsfr. Stadt";"32,8";"32,9";"2.417,5";"2.403,2";"3,1";"3,2";"38,5";"40,1";"70,6";"70,6";"890,7";"892,6";"53,6";"53,4";"4,8";"4,9";"60,2";"61,6";"10,3";"10,3";"129,3";"130,8";"2,3";"2,3";"29,3";"28,9"
"05916";"Herne, Stadt";"krsfr. Stadt";"75,7";"75,8";"4.025,0";"4.015,7";"10,9";"10,8";"35,8";"35,3";"36,7";"36,5";"120,5";"119,9";"8,4";"8,3";"7,8";"7,7";"25,5";"25,4";"12,1";"12,1";"39,7";"39,8";"2,0";"2,0";"6,6";"6,6"
"05954";"Ennepe-Ruhr-Kreis";"Landkreis";"28,9";"28,9";"2.751,1";"2.738,4";"2,1";"2,1";"26,6";"26,8";"73,7";"73,6";"927,2";"928,6";"38,7";"38,5";"3,1";"3,1";"39,0";"39,5";"30,2";"30,2";"380,2";"381,3";"1,7";"1,7";"21,6";"21,7"
"05958";"Hochsauerlandkreis";"Landkreis";"12,3";"12,4";"1.087,0";"1.076,5";"0,9";"1,0";"70,4";"72,7";"88,7";"88,7";"6.630,2";"6.642,9";"30,7";"30,6";"1,9";"1,9";"142,5";"144,7";"55,5";"55,4";"4.145,0";"4.154,0";"0,9";"0,8";"63,8";"63,4"
"05962";"Märkischer Kreis";"Landkreis";"17,0";"17,0";"2.294,0";"2.287,2";"1,0";"1,1";"25,4";"27,1";"84,2";"84,2";"2.152,3";"2.162,1";"30,7";"30,3";"2,3";"2,5";"58,4";"65,0";"50,5";"50,9";"1.292,5";"1.307,4";"1,2";"1,2";"30,3";"30,2"
"05966";"Olpe";"Landkreis";"14,8";"14,9";"1.279,0";"1.273,5";"1,0";"1,0";"53,2";"53,5";"86,3";"86,2";"4.551,2";"4.555,0";"23,6";"23,6";"4,5";"4,7";"236,5";"248,4";"59,5";"59,5";"3.139,0";"3.143,6";"1,7";"1,7";"90,7";"90,1"
"05970";"Siegen-Wittgenstein";"Landkreis";"16,2";"16,4";"1.514,1";"1.497,7";"0,8";"0,8";"32,9";"33,3";"84,8";"84,6";"3.455,1";"3.447,7";"18,6";"18,6";"3,3";"3,6";"134,8";"147,7";"64,3";"64,1";"2.620,1";"2.613,1";"0,6";"0,6";"23,5";"23,2"
"05974";"Soest";"Landkreis";"15,4";"15,5";"1.474,4";"1.469,5";"1,3";"1,3";"55,3";"55,3";"86,0";"85,9";"3.786,7";"3.783,8";"61,5";"61,2";"2,8";"3,0";"124,0";"133,6";"20,3";"20,5";"894,6";"900,9";"1,9";"2,0";"85,3";"87,2"
"05978";"Unna";"Landkreis";"31,7";"31,7";"2.289,5";"2.291,1";"2,8";"3,0";"39,2";"41,7";"71,5";"71,7";"986,6";"989,2";"52,5";"51,9";"3,9";"4,4";"53,3";"60,9";"13,9";"14,5";"191,1";"199,5";"1,5";"1,5";"21,3";"20,4"
"06411";"Darmstadt, Stadt";"krsfr. Stadt";"35,0";"35,1";"3.681,0";"3.696,7";"4,3";"4,3";"33,0";"33,0";"69,8";"69,8";"541,0";"538,1";"19,1";"19,1";"1,3";"1,3";"10,0";"10,0";"44,9";"44,8";"347,9";"345,8";"0,7";"0,7";"5,7";"5,7"
"06412";"Frankfurt am Main, Stadt";"krsfr. Stadt";"58,4";"58,5";"5.078,4";"5.145,2";"7,5";"7,6";"25,4";"25,2";"50,2";"50,1";"169,1";"166,6";"24,0";"24,0";"2,7";"2,6";"9,0";"8,7";"15,1";"15,1";"51,0";"50,2";"2,1";"2,1";"7,2";"7,1"
"06413";"Offenbach am Main, Stadt";"krsfr. Stadt";"49,1";"49,1";"5.652,9";"5.746,7";"6,3";"6,4";"22,6";"22,5";"57,9";"58,0";"208,4";"205,4";"14,1";"14,1";"3,9";"3,9";"14,0";"13,7";"33,7";"33,7";"121,5";"119,5";"2,6";"2,6";"9,5";"9,3"
"06414";"Wiesbaden, Stadt";"krsfr. Stadt";"39,4";"39,4";"3.457,7";"3.470,2";"6,6";"6,6";"48,2";"48,0";"67,6";"67,6";"496,6";"494,7";"29,6";"29,6";"3,7";"3,7";"27,1";"27,3";"27,7";"27,7";"203,3";"202,9";"2,6";"2,6";"19,4";"19,3"
"06431";"Bergstraße";"Landkreis";"16,4";"16,4";"2.277,0";"2.276,6";"1,3";"1,3";"34,5";"34,5";"85,1";"85,0";"2.284,3";"2.275,8";"40,6";"40,4";"3,0";"3,1";"79,9";"81,9";"40,1";"40,1";"1.076,2";"1.073,7";"2,2";"2,3";"59,9";"61,4"
"06432";"Darmstadt-Dieburg";"Landkreis";"18,9";"18,9";"2.366,1";"2.372,2";"1,2";"1,2";"26,7";"26,6";"82,4";"82,4";"1.841,5";"1.832,7";"44,0";"43,9";"1,8";"1,8";"40,7";"41,1";"35,2";"35,2";"785,7";"782,4";"1,2";"1,2";"26,7";"27,0"
"06433";"Groß-Gerau";"Landkreis";"23,7";"23,7";"2.508,1";"2.523,7";"2,1";"2,1";"34,6";"35,0";"78,6";"78,5";"1.322,7";"1.311,0";"46,3";"46,2";"6,4";"6,4";"107,1";"106,7";"24,1";"24,1";"405,8";"402,1";"5,2";"5,2";"86,8";"86,7"
"06434";"Hochtaunuskreis";"Landkreis";"19,5";"19,9";"2.506,0";"2.459,3";"1,7";"1,8";"35,5";"35,9";"82,5";"82,0";"1.690,9";"1.674,9";"29,4";"29,3";"1,3";"1,3";"26,6";"26,6";"50,1";"49,7";"1.026,9";"1.015,1";"0,6";"0,6";"12,1";"12,1"
"06435";"Main-Kinzig-Kreis";"Landkreis";"16,0";"16,0";"1.869,4";"1.872,9";"1,2";"1,3";"41,9";"41,8";"85,4";"85,4";"2.864,2";"2.853,1";"38,8";"38,8";"2,3";"2,3";"78,5";"78,1";"43,4";"43,4";"1.453,8";"1.448,7";"1,3";"1,3";"44,1";"43,9"
"06436";"Main-Taunus-Kreis";"Landkreis";"32,4";"32,6";"3.266,5";"3.264,9";"3,4";"3,4";"32,2";"32,1";"71,4";"71,2";"673,6";"668,3";"41,3";"41,2";"2,2";"2,3";"20,6";"21,6";"24,3";"24,3";"229,7";"228,4";"1,4";"1,5";"13,4";"13,6"
"06437";"Odenwaldkreis";"Landkreis";"10,8";"10,8";"1.429,9";"1.428,9";"0,6";"0,6";"39,1";"39,1";"89,9";"89,9";"5.814,6";"5.805,8";"32,2";"32,2";"0,9";"0,9";"60,7";"60,4";"56,1";"56,1";"3.628,7";"3.623,7";"0,5";"0,5";"35,1";"35,1"
"06438";"Offenbach";"Landkreis";"30,0";"30,1";"3.275,8";"3.284,4";"2,3";"2,3";"23,2";"23,3";"72,6";"72,5";"738,8";"734,9";"23,6";"23,6";"3,2";"3,2";"32,5";"32,3";"43,7";"43,7";"444,6";"442,4";"2,1";"2,1";"21,0";"20,9"
"06439";"Rheingau-Taunus-Kreis";"Landkreis";"13,3";"13,4";"1.716,3";"1.717,3";"1,1";"1,1";"45,9";"45,7";"87,8";"87,8";"3.837,5";"3.815,8";"29,1";"29,0";"3,6";"3,6";"155,3";"154,8";"55,6";"55,6";"2.430,3";"2.417,4";"1,8";"1,8";"80,7";"80,4"
"06440";"Wetteraukreis";"Landkreis";"15,6";"15,8";"1.772,2";"1.761,1";"1,1";"1,1";"39,3";"39,3";"85,6";"85,5";"3.100,8";"3.080,8";"53,3";"53,1";"2,0";"2,1";"71,2";"74,2";"29,3";"29,2";"1.062,8";"1.054,0";"1,2";"1,2";"42,6";"44,1"
"06531";"Gießen";"Landkreis";"18,3";"18,4";"1.695,7";"1.697,4";"1,5";"1,6";"49,8";"49,8";"83,3";"83,3";"2.680,5";"2.664,8";"44,7";"44,6";"2,4";"2,4";"76,5";"76,5";"35,1";"35,2";"1.130,1";"1.125,0";"1,3";"1,3";"42,0";"41,6"
"06532";"Lahn-Dill-Kreis";"Landkreis";"16,8";"16,8";"1.421,4";"1.417,9";"1,1";"1,1";"45,8";"46,5";"84,5";"84,4";"3.545,0";"3.542,5";"33,8";"33,5";"2,0";"2,1";"83,1";"88,5";"47,8";"48,0";"2.004,2";"2.013,0";"1,2";"1,2";"49,7";"49,4"
"06533";"Limburg-Weilburg";"Landkreis";"17,3";"17,4";"1.349,6";"1.341,3";"1,1";"1,1";"46,2";"46,4";"83,9";"83,9";"3.601,4";"3.600,7";"45,8";"45,8";"2,6";"2,6";"109,5";"110,7";"34,5";"34,4";"1.479,9";"1.479,2";"1,2";"1,2";"49,7";"49,7"
"06534";"Marburg-Biedenkopf";"Landkreis";"14,0";"14,1";"1.385,7";"1.387,9";"0,9";"0,9";"43,9";"44,1";"87,0";"86,9";"4.481,1";"4.458,3";"43,4";"43,3";"1,8";"1,8";"91,1";"92,3";"41,0";"41,0";"2.111,3";"2.103,3";"1,1";"1,1";"55,5";"55,2"
"06535";"Vogelsbergkreis";"Landkreis";"10,4";"10,4";"701,9";"698,4";"0,6";"0,6";"86,4";"87,6";"90,3";"90,3";"12.339,5";"12.370,3";"48,9";"48,8";"1,8";"1,9";"252,8";"259,6";"39,1";"39,2";"5.347,4";"5.373,6";"1,0";"1,0";"143,1";"142,6"
"06611";"Kassel, Stadt";"krsfr. Stadt";"60,7";"61,0";"3.069,1";"3.078,8";"11,6";"11,8";"62,1";"62,8";"51,8";"51,7";"277,8";"275,0";"14,6";"14,2";"3,1";"3,1";"16,6";"16,5";"21,9";"22,0";"117,6";"117,1";"2,2";"2,2";"11,6";"11,5"
"06631";"Fulda";"Landkreis";"14,2";"14,2";"1.127,9";"1.130,7";"0,9";"0,9";"54,8";"55,5";"86,8";"86,8";"5.416,5";"5.402,0";"48,5";"48,3";"1,6";"1,7";"99,2";"103,9";"36,2";"36,3";"2.257,3";"2.259,2";"0,8";"0,8";"51,1";"51,3"
"06632";"Hersfeld-Rotenburg";"Landkreis";"12,2";"12,3";"906,6";"899,8";"0,6";"0,6";"50,7";"50,7";"88,5";"88,4";"8.026,0";"8.012,7";"40,4";"40,3";"1,6";"1,6";"141,9";"145,7";"45,9";"45,9";"4.158,5";"4.156,2";"1,1";"1,1";"97,9";"98,5"
"06633";"Kassel";"Landkreis";"14,0";"14,1";"1.306,3";"1.302,2";"1,0";"1,0";"54,8";"55,3";"87,1";"87,1";"4.754,3";"4.757,7";"44,8";"44,8";"1,8";"1,8";"97,7";"97,9";"39,6";"39,7";"2.164,3";"2.167,5";"1,1";"1,1";"57,9";"58,0"
"06634";"Schwalm-Eder-Kreis";"Landkreis";"12,3";"12,4";"957,5";"948,7";"0,6";"0,6";"48,6";"49,7";"88,4";"88,3";"7.510,6";"7.518,5";"48,9";"48,6";"3,3";"3,4";"283,0";"291,0";"35,7";"35,9";"3.032,1";"3.057,5";"1,4";"1,5";"122,7";"123,8"
"06635";"Waldeck-Frankenberg";"Landkreis";"10,0";"10,1";"852,2";"845,4";"0,6";"0,6";"73,9";"75,3";"90,7";"90,7";"10.614,0";"10.658,9";"42,1";"42,1";"2,3";"2,4";"274,2";"277,7";"45,6";"45,7";"5.342,2";"5.368,9";"1,7";"1,7";"197,8";"200,1"
"06636";"Werra-Meißner-Kreis";"Landkreis";"11,5";"11,5";"858,0";"857,7";"0,7";"0,7";"71,3";"71,4";"89,3";"89,3";"9.064,3";"9.050,3";"43,0";"43,0";"2,8";"2,8";"286,2";"287,7";"43,4";"43,4";"4.401,4";"4.395,7";"1,4";"1,4";"139,4";"138,9"
"07111";"Koblenz, Stadt";"krsfr. Stadt";"36,4";"36,4";"2.968,5";"2.969,3";"5,1";"5,2";"47,7";"47,9";"69,4";"69,4";"643,3";"641,5";"23,6";"23,1";"9,2";"9,5";"85,6";"88,2";"33,9";"34,4";"314,2";"318,2";"5,4";"5,4";"50,2";"49,6"
"07131";"Ahrweiler";"Landkreis";"13,6";"13,6";"1.197,5";"1.206,8";"1,9";"1,9";"114,4";"117,0";"88,3";"88,4";"5.409,9";"5.397,2";"31,4";"31,3";"4,0";"4,1";"246,2";"251,1";"52,9";"53,0";"3.241,1";"3.238,4";"1,6";"1,6";"98,6";"98,2"
"07132";"Altenkirchen (Westerwald)";"Landkreis";"15,8";"15,8";"1.267,3";"1.268,4";"1,5";"1,5";"74,3";"73,6";"85,8";"85,8";"4.272,8";"4.279,3";"31,2";"31,2";"1,9";"1,9";"97,1";"97,2";"51,9";"51,9";"2.586,8";"2.589,9";"0,9";"0,9";"46,2";"46,1"
"07133";"Bad Kreuznach";"Landkreis";"14,0";"13,9";"1.304,9";"1.310,8";"1,9";"1,9";"102,5";"102,4";"88,0";"88,1";"4.830,9";"4.828,8";"44,7";"44,4";"4,1";"4,4";"225,7";"240,1";"39,9";"40,2";"2.187,8";"2.204,8";"1,0";"1,0";"55,2";"55,0"
"07134";"Birkenfeld";"Landkreis";"11,2";"11,2";"932,0";"926,5";"1,3";"1,3";"124,1";"124,6";"90,2";"90,2";"8.675,0";"8.677,7";"32,8";"32,4";"2,3";"2,6";"220,8";"252,0";"55,1";"55,5";"5.294,6";"5.336,1";"0,5";"0,5";"51,0";"51,3"
"07135";"Cochem-Zell";"Landkreis";"11,1";"11,0";"808,0";"808,3";"1,5";"1,6";"173,3";"174,5";"90,5";"90,6";"10.133,4";"10.171,6";"36,7";"36,6";"4,4";"4,4";"495,6";"498,2";"50,1";"50,3";"5.607,0";"5.643,3";"1,7";"1,7";"195,8";"196,4"
"07137";"Mayen-Koblenz";"Landkreis";"17,0";"17,0";"1.532,9";"1.540,1";"1,8";"1,8";"70,7";"69,8";"85,0";"85,0";"3.261,9";"3.253,4";"47,4";"47,4";"4,6";"4,7";"178,0";"181,6";"32,4";"32,5";"1.242,9";"1.244,4";"1,9";"1,9";"71,6";"71,4"
"07138";"Neuwied";"Landkreis";"18,4";"18,4";"1.573,1";"1.578,1";"2,3";"2,1";"78,6";"72,3";"84,0";"83,9";"2.902,1";"2.895,5";"33,1";"33,1";"4,0";"4,1";"138,1";"142,6";"45,8";"46,0";"1.581,4";"1.586,6";"2,1";"2,1";"72,3";"71,4"
"07140";"Rhein-Hunsrück-Kreis";"Landkreis";"12,0";"12,0";"864,6";"864,6";"1,2";"1,3";"120,0";"121,3";"89,3";"89,3";"8.589,8";"8.599,2";"41,2";"41,1";"2,4";"2,5";"228,6";"237,3";"45,8";"45,9";"4.402,7";"4.414,8";"0,9";"0,9";"87,6";"87,9"
"07141";"Rhein-Lahn-Kreis";"Landkreis";"12,1";"12,1";"1.289,6";"1.287,9";"1,5";"1,5";"96,0";"96,0";"89,5";"89,5";"5.709,7";"5.717,7";"38,4";"38,4";"4,7";"4,7";"300,9";"302,8";"46,9";"47,0";"2.994,9";"3.001,5";"1,8";"1,8";"112,2";"112,2"
"07143";"Westerwaldkreis";"Landkreis";"16,6";"16,5";"1.227,3";"1.232,3";"1,9";"1,9";"91,9";"91,3";"85,4";"85,5";"4.203,2";"4.205,6";"38,1";"38,1";"3,7";"3,7";"182,3";"183,2";"42,8";"42,8";"2.105,9";"2.106,0";"1,4";"1,3";"66,6";"66,4"
"07211";"Trier, Stadt";"krsfr. Stadt";"31,5";"31,5";"2.984,8";"2.980,6";"5,6";"5,2";"59,0";"55,7";"74,4";"74,0";"790,8";"787,7";"20,7";"20,3";"9,0";"9,4";"95,9";"100,2";"43,8";"44,1";"465,9";"469,8";"3,4";"3,4";"35,9";"36,4"
"07231";"Bernkastel-Wittlich";"Landkreis";"11,2";"11,1";"859,5";"863,8";"1,4";"1,4";"144,8";"142,0";"90,3";"90,3";"9.413,7";"9.404,7";"36,0";"36,0";"4,2";"4,3";"436,5";"444,0";"50,8";"50,9";"5.299,0";"5.302,9";"1,4";"1,4";"149,7";"149,9"
"07232";"Eifelkreis Bitburg-Prüm";"Landkreis";"10,1";"10,2";"595,0";"594,5";"1,3";"1,2";"210,0";"196,2";"91,2";"91,1";"15.133,8";"15.086,4";"52,6";"52,5";"2,5";"2,7";"409,3";"443,3";"36,4";"36,5";"6.045,5";"6.049,4";"0,6";"0,6";"100,3";"99,0"
"07233";"Vulkaneifel";"Landkreis";"10,8";"10,8";"616,1";"617,0";"1,6";"1,6";"241,1";"237,2";"90,8";"90,8";"13.629,4";"13.640,6";"41,7";"41,6";"3,1";"3,2";"458,2";"479,4";"46,1";"46,3";"6.920,0";"6.945,7";"0,7";"0,7";"99,4";"99,5"
"07235";"Trier-Saarburg";"Landkreis";"12,5";"12,5";"1.074,9";"1.080,9";"2,5";"2,3";"189,7";"169,1";"90,1";"89,9";"6.719,4";"6.668,9";"38,0";"37,7";"5,6";"6,1";"418,5";"452,2";"47,9";"48,2";"3.573,8";"3.576,8";"1,3";"1,3";"94,3";"94,2"
"07311";"Frankenthal (Pfalz), Stadt";"krsfr. Stadt";"36,9";"36,9";"2.994,1";"2.992,4";"5,0";"5,0";"45,2";"45,0";"68,6";"68,6";"621,7";"621,9";"58,4";"58,3";"4,1";"4,1";"37,2";"37,4";"2,1";"2,1";"19,2";"19,2";"2,4";"2,4";"21,7";"21,7"
